"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","57.42","57.95","58.55","57.20","157.16K","-0.91%"
"12/30/2025","57.95","57.81","58.47","57.60","143.80K","-0.22%"
"12/29/2025","58.08","57.04","58.30","56.91","178.59K","2.36%"
"12/26/2025","56.74","58.35","58.88","56.65","166.67K","-2.76%"
"12/24/2025","58.35","58.47","58.75","58.13","111.76K","-0.05%"
"12/23/2025","58.38","57.95","58.56","57.74","183.63K","0.64%"
"12/22/2025","58.01","56.63","58.13","56.60","221.58K","2.38%"
"12/19/2025","56.66","56.03","56.90","55.82","196.88K","0.91%"
"12/18/2025","56.15","56.90","57.03","55.88","85.74K","0.38%"
"12/17/2025","55.94","55.23","56.98","55.20","125.61K","1.21%"
"12/16/2025","55.27","56.68","56.70","54.98","230.93K","-2.73%"
"12/15/2025","56.82","57.50","57.80","56.40","229.31K","-0.73%"
"12/12/2025","57.24","57.74","58.01","56.97","186.59K","-0.37%"
"12/11/2025","57.45","58.72","58.76","56.85","193.56K","-1.46%"
"12/10/2025","58.30","58.23","58.83","57.52","166.34K","0.38%"
"12/09/2025","58.08","58.67","58.93","57.95","178.89K","-0.94%"
"12/08/2025","58.63","59.88","60.01","58.43","162.27K","-2.41%"
"12/05/2025","60.08","59.70","60.50","59.42","255.08K","0.69%"
"12/04/2025","59.67","59.09","60.02","58.81","264.99K","1.22%"
"12/03/2025","58.95","58.65","59.64","58.37","260.97K","0.53%"
"12/02/2025","58.64","59.52","59.67","58.28","255.51K","-1.15%"
"12/01/2025","59.32","58.96","59.97","58.83","232.77K","1.32%"
"11/28/2025","58.55","58.58","59.64","58.27","153.76K","-0.76%"
"11/27/2025","59.00","59.10","59.16","58.29","61.45K","0.60%"
"11/26/2025","58.65","58.05","58.72","57.66","228.29K","1.21%"
"11/25/2025","57.95","58.89","58.96","57.10","334.44K","-1.51%"
"11/24/2025","58.84","58.05","59.06","57.42","238.14K","1.34%"
"11/21/2025","58.06","58.80","58.80","57.38","345.01K","-1.83%"
"11/20/2025","59.14","59.63","60.33","58.86","27.58K","-0.50%"
"11/19/2025","59.44","60.62","60.79","58.77","79.62K","-2.14%"
"11/18/2025","60.74","59.74","60.93","59.31","105.33K","1.39%"
"11/17/2025","59.91","59.80","60.44","59.32","189.64K","-0.07%"
"11/14/2025","59.95","58.66","60.47","58.66","324.82K","2.23%"
"11/13/2025","58.64","58.49","59.15","58.11","203.34K","0.26%"
"11/12/2025","58.49","60.96","61.01","58.30","224.00K","-4.10%"
"11/11/2025","60.99","59.94","61.18","59.59","184.22K","1.60%"
"11/10/2025","60.03","59.73","60.31","59.30","135.13K","0.47%"
"11/07/2025","59.75","59.65","60.46","59.32","259.45K","0.54%"
"11/06/2025","59.43","59.68","60.51","58.83","277.77K","-0.29%"
"11/05/2025","59.60","60.43","61.09","59.52","292.52K","-1.59%"
"11/04/2025","60.56","61.03","61.03","59.94","219.30K","-0.80%"
"11/03/2025","61.05","61.40","61.50","60.51","236.25K","0.11%"
"10/31/2025","60.98","60.30","61.38","59.99","278.60K","0.68%"
"10/30/2025","60.57","60.39","60.79","59.64","247.92K","0.15%"
"10/29/2025","60.48","60.18","61.02","59.70","276.88K","0.55%"
"10/28/2025","60.15","61.50","61.50","59.76","307.57K","-1.89%"
"10/27/2025","61.31","61.82","62.17","60.67","272.19K","-0.31%"
"10/24/2025","61.50","61.79","62.59","61.21","373.74K","-0.47%"
"10/23/2025","61.79","59.94","62.20","59.64","735.19K","5.62%"
"10/22/2025","58.50","57.59","59.83","57.34","378.64K","1.18%"
"10/21/2025","57.82","57.37","58.28","56.99","27.73K","0.52%"
"10/20/2025","57.52","57.73","57.81","56.35","108.15K","-0.03%"
"10/17/2025","57.54","57.50","57.72","56.60","108.75K","0.14%"
"10/16/2025","57.46","58.77","59.11","57.26","203.87K","-1.39%"
"10/15/2025","58.27","58.60","59.42","58.20","224.92K","0.00%"
"10/14/2025","58.27","59.17","59.39","57.29","232.45K","-1.35%"
"10/13/2025","59.07","58.65","59.69","58.41","0.64K","0.29%"
"10/10/2025","58.90","61.49","61.67","58.22","339.10K","-4.24%"
"10/09/2025","61.51","62.31","62.87","61.25","259.17K","-1.66%"
"10/08/2025","62.55","62.05","62.92","62.05","273.32K","1.33%"
"10/07/2025","61.73","61.73","62.11","60.72","245.12K","0.06%"
"10/06/2025","61.69","61.14","62.12","61.04","224.68K","1.33%"
"10/03/2025","60.88","60.70","61.38","60.55","240.04K","0.66%"
"10/02/2025","60.48","61.78","62.54","60.40","290.51K","-2.10%"
"10/01/2025","61.78","62.46","62.89","61.40","274.34K","-0.95%"
"09/30/2025","62.37","63.14","63.26","62.03","271.65K","-1.70%"
"09/29/2025","63.45","65.07","65.40","62.98","294.29K","-3.45%"
"09/26/2025","65.72","65.20","66.42","64.66","284.99K","1.14%"
